license_number,business_name,profession,status,expiration_date,original_issue_date,street,street2,city,state,zip,county,discipline_on_file,public_complaint,data_as_of,last_checked,notes
MM35532,River Oaks Massage Clinic Spa,Massage Establishment,Clear,2027-08-31,2016-08-10,4720 SOUTH 25TH ST,,Fort Pierce,FL,34981,St. Lucie,False,False,2026-09-09,2026-09-09,"Phone: (772) 461-9111 | Discipline on File: No; Public Complaint: No | License history: Predecessor: MM11356 (River Oaks Massage Clinic & Day Spa, Ft Pierce) - Null And Void. Also MM9553 (River Oaks Massage Therapy Services Inc, Bradenton) - Null And Void. | Sweep status: Two other 'Null And Void' licenses under near-identical names (River Oaks Massage Therapy Services Inc - Bradenton MM9553; River Oaks Massage Clinic & Day Spa - Ft Pierce MM11356) exist in DOH records. Current license MM35532 is clean, but the same/similar name has a void history in the same city. Verify address continuity via Sunbiz before downgrading to Green."
MM43251,7 Ch'i LLC,Massage Establishment,Clear,2027-08-31,2022-10-04,131 North 2nd St,Ste# 220-222,Fort Pierce,FL,34950,St. Lucie,False,False,2026-09-09,2026-09-09,Phone: (954) 282-9684 | Discipline on File: No; Public Complaint: No | Portal record: https://mqa-internet.doh.state.fl.us/MQASearchServices/HealthcareProviders/LicenseVerification?LicInd=48394&Procde=1402&org=7%20CH%27I
MM41175,Palm Sport and Wellness,Massage Establishment,Clear,2027-08-31,2021-01-14,208 AVENUE E,,Fort Pierce,FL,34950,St. Lucie,False,False,2026-09-09,2026-09-09,"Phone: (772) 801-5584 | Discipline on File: No; Public Complaint: No | Sweep status: Clean license, no discipline/complaints, no predecessor void licenses found at this address."
MM37443,"Serendipity Therapeutic Massage and Bodywork, Inc.",Massage Establishment,Clear,2027-08-31,2017-12-14,800 VIRGINIA AVE,SUITE #57,Fort Pierce,FL,34982,St. Lucie,False,False,2026-09-09,2026-09-09,"Phone: (772) 521-3638 | Discipline on File: No; Public Complaint: No | License history: Predecessor: MM17279 (same name, Stuart) - Null And Void. | Sweep status: A prior license under the identical business name (Serendipity Therapeutic Massage and Bodywork, Inc, MM17279, Stuart) is Null And Void. Could be a legitimate relocation (Stuart -> Ft Pierce) rather than a shell restart - confirm via Sunbiz/ownership records before reclassifying."
MM20210,Dermatech Day Spa,Massage Establishment,Clear,2027-08-31,2007-08-29,210 ORANGE AVE,,Fort Pierce,FL,34950,St. Lucie,False,False,2026-09-09,2026-09-09,"Phone: (772) 467-0607 | Discipline on File: No; Public Complaint: No | Sweep status: Long-standing license (original issue 2007), clean history, no predecessor void licenses found."
MM36002,Hong Kong Massage,Massage Establishment,Clear,2027-08-31,2016-12-06,1894 SE Port Saint Lucie Blvd,,Port St. Lucie,FL,34952,St. Lucie,False,False,2026-09-09,2026-09-09,"Phone: (772) 301-1430 | Discipline on File: No; Public Complaint: No; Licensed entity: Hengxin Industries, LLC | Sweep status: Clean license, no discipline/complaints, no predecessor void licenses found."
MM40914,Peacock Day Spa & Massage,Massage Establishment,Clear,2027-08-31,2020-10-05,270 NW PEACOCK BLVD,SUITE 105,Port St. Lucie,FL,34986,St. Lucie,False,False,2026-09-09,2026-09-09,"Phone: (772) 807-1818 | Discipline on File: No; Public Complaint: No; Licensed entity: Peacock Foot Spa LLC | Sweep status: Clean license, no discipline/complaints, address matches directory exactly."
MM36569,Hua Flower Murdoch LMT LLC,Massage Establishment,Clear,2027-08-31,2017-05-04,8497 S US Hwy 1,,Port St. Lucie,FL,34952,St. Lucie,False,False,2026-09-11,2026-09-11,Phone: (772) 812-9192 | Address matches exactly (8497 S U.S. Hwy 1).
MM39186,Massage Eden,Massage Establishment,Clear,2027-08-31,2019-03-12,8908 S Federal HWY,,Port St. Lucie,FL,34952,St. Lucie,False,False,2026-09-11,2026-09-11,"Phone: (772) 999-6388 | Current license MM39186 is Clear and address matches exactly; predecessor license MM36067 (same LLC) is Null And Void. | License history: Predecessor: MM36067 (Massage Eden 8908 LLC, Port St Lucie) - Null And Void, expired 8/31/2019."
MM38902,David Jasmin Massage,Massage Establishment,Clear,2027-08-31,2019-01-04,1701 SE Hillmore Drive,Suite 7,Port St. Lucie,FL,34952,St. Lucie,False,False,2026-09-11,2026-09-11,"Phone: (561) 602-3441 | Address matches (1701 SE Hillmoor Dr, Suite 7)."
